MGE	MAG	Total Signal	Signal rate	Interacting Contigs
MetaTOR_MGE_00243       	metator_00016_00000     	0.575052	100.00	17
MetaTOR_MGE_00244       	metator_00024_00000     	0.335379	96.88	21
MetaTOR_MGE_00246       	metator_00001_00000     	0.420692	98.02	170
MetaTOR_MGE_00083       	metator_00002_00004     	0.964952	73.50	79
MetaTOR_MGE_00083       	metator_00002_00003     	0.302520	23.04	105
MetaTOR_MGE_00248       	metator_00001_00000     	0.480551	97.81	157
MetaTOR_MGE_00249       	metator_00002_00004     	0.094529	17.67	60
MetaTOR_MGE_00249       	metator_00002_00003     	0.396725	74.18	100
MetaTOR_MGE_00250       	metator_00016_00000     	0.491901	100.00	22
MetaTOR_MGE_00029       	metator_00033_00000     	1.592128	99.18	90
MetaTOR_MGE_00251       	metator_00002_00004     	0.169024	49.48	60
MetaTOR_MGE_00251       	metator_00002_00003     	0.133066	38.95	87
MetaTOR_MGE_00252       	metator_00027_00006     	0.041421	23.73	28
MetaTOR_MGE_00252       	metator_00027_00002     	0.114340	65.51	27
MetaTOR_MGE_00082       	metator_00030_00000     	0.469996	96.29	70
MetaTOR_MGE_00086       	metator_00008_00000     	0.528284	98.95	74
MetaTOR_MGE_00253       	metator_00007_00000     	0.975689	99.82	25
MetaTOR_MGE_00254       	metator_00005_00001     	0.582515	98.14	106
MetaTOR_MGE_00256       	metator_00002_00002     	0.910274	93.63	117
MetaTOR_MGE_00257       	metator_00022_00000     	0.073512	99.60	26
MetaTOR_MGE_00260       	metator_00007_00000     	0.969978	99.14	51
MetaTOR_MGE_00261       	metator_00029_00001     	0.150835	99.24	27
MetaTOR_MGE_00262       	metator_00008_00000     	0.394349	99.06	64
MetaTOR_MGE_00263       	metator_00082_00000     	0.493975	99.29	23
MetaTOR_MGE_00264       	metator_00025_00000     	0.996707	98.07	142
MetaTOR_MGE_00265       	metator_00027_00003     	0.309799	93.20	33
MetaTOR_MGE_00266       	metator_00096_00000     	0.089834	95.32	12
MetaTOR_MGE_00081       	metator_00096_00000     	0.554644	98.26	34
MetaTOR_MGE_00061       	metator_00002_00002     	0.792034	94.50	100
MetaTOR_MGE_00098       	metator_00016_00000     	0.906306	99.16	34
MetaTOR_MGE_00072       	metator_00025_00000     	2.052810	98.67	146
MetaTOR_MGE_00268       	metator_00025_00000     	0.114578	98.82	80
MetaTOR_MGE_00015       	metator_00005_00001     	1.235545	99.07	112
MetaTOR_MGE_00012       	metator_00022_00000     	0.550582	99.74	125
MetaTOR_MGE_00075       	metator_00033_00000     	2.452232	98.98	101
MetaTOR_MGE_00052       	metator_00028_00001     	0.248838	19.59	11
MetaTOR_MGE_00052       	metator_00028_00002     	0.832460	65.53	25
MetaTOR_MGE_00052       	metator_00028_00003     	0.155774	12.26	10
MetaTOR_MGE_00271       	metator_00022_00000     	0.165178	99.72	34
MetaTOR_MGE_00272       	metator_00028_00001     	0.255106	55.24	11
MetaTOR_MGE_00272       	metator_00028_00002     	0.147386	31.92	22
MetaTOR_MGE_00273       	metator_00022_00000     	0.276645	100.00	68
MetaTOR_MGE_00024       	metator_00030_00000     	0.348687	97.64	54
MetaTOR_MGE_00084       	metator_00024_00000     	0.494594	92.53	27
MetaTOR_MGE_00274       	metator_00022_00000     	0.256486	99.95	66
MetaTOR_MGE_00275       	metator_00014_00000     	1.015889	99.48	57
MetaTOR_MGE_00276       	metator_00025_00000     	0.504007	98.17	128
MetaTOR_MGE_00069       	metator_00035_00000     	0.511756	95.01	30
MetaTOR_MGE_00277       	metator_00047_00000     	0.112327	100.00	20
MetaTOR_MGE_00278       	metator_00047_00000     	0.116071	99.21	22
MetaTOR_MGE_00005       	metator_00018_00003     	0.394824	97.85	50
MetaTOR_MGE_00011       	metator_00096_00000     	0.987158	98.48	35
MetaTOR_MGE_00280       	metator_00001_00000     	0.125579	99.03	91
MetaTOR_MGE_00282       	metator_00022_00000     	0.186228	100.00	40
MetaTOR_MGE_00283       	metator_00002_00002     	0.385049	96.29	81
MetaTOR_MGE_00284       	metator_00064_00002     	0.201116	89.17	34
MetaTOR_MGE_00285       	metator_00008_00000     	0.177667	100.00	34
MetaTOR_MGE_00287       	metator_00027_00001     	0.283940	80.21	31
MetaTOR_MGE_00287       	metator_00027_00004     	0.039983	11.30	9
MetaTOR_MGE_00289       	metator_00027_00006     	0.261741	93.45	34
MetaTOR_MGE_00035       	metator_00096_00000     	0.493655	98.24	32
MetaTOR_MGE_00057       	metator_00016_00000     	2.156133	99.92	69
MetaTOR_MGE_00291       	metator_00027_00005     	0.164934	98.25	74
MetaTOR_MGE_00292       	metator_00013_00000     	0.221509	100.00	17
MetaTOR_MGE_00293       	metator_00030_00000     	0.394421	94.45	64
MetaTOR_MGE_00295       	metator_00025_00000     	0.914789	98.39	138
MetaTOR_MGE_00297       	metator_00007_00000     	0.610157	100.00	6
MetaTOR_MGE_00298       	metator_00052_00000     	0.243513	99.48	53
MetaTOR_MGE_00071       	metator_00005_00002     	0.765965	86.90	62
MetaTOR_MGE_00299       	metator_00027_00005     	0.060477	100.00	14
MetaTOR_MGE_00300       	metator_00027_00005     	0.124637	98.57	56
MetaTOR_MGE_00301       	metator_00033_00000     	0.339120	99.73	52
MetaTOR_MGE_00302       	metator_00018_00001     	0.201184	90.80	86
MetaTOR_MGE_00303       	metator_00007_00000     	0.833651	99.90	22
MetaTOR_MGE_00305       	metator_00016_00000     	0.289745	99.09	9
MetaTOR_MGE_00306       	metator_00016_00000     	0.366917	100.00	10
MetaTOR_MGE_00307       	metator_00025_00000     	0.217515	98.80	104
MetaTOR_MGE_00309       	metator_00033_00000     	0.088277	99.79	24
MetaTOR_MGE_00310       	metator_00007_00000     	0.435194	100.00	6
MetaTOR_MGE_00070       	metator_00009_00003     	0.091154	26.84	9
MetaTOR_MGE_00070       	metator_00009_00002     	0.208169	61.29	13
MetaTOR_MGE_00311       	metator_00022_00000     	0.350959	99.71	104
MetaTOR_MGE_00312       	metator_00027_00002     	0.038711	71.05	12
MetaTOR_MGE_00312       	metator_00027_00006     	0.008660	15.89	5
MetaTOR_MGE_00313       	metator_00009_00003     	0.111087	60.49	9
MetaTOR_MGE_00313       	metator_00009_00002     	0.062493	34.03	11
MetaTOR_MGE_00315       	metator_00027_00006     	0.182382	91.05	25
MetaTOR_MGE_00317       	metator_00007_00000     	0.338650	100.00	6
MetaTOR_MGE_00318       	metator_00022_00000     	0.174722	99.92	61
MetaTOR_MGE_00319       	metator_00007_00000     	0.938643	100.00	10
MetaTOR_MGE_00080       	metator_00002_00004     	0.192908	16.50	67
MetaTOR_MGE_00080       	metator_00002_00003     	0.911531	77.98	120
MetaTOR_MGE_00322       	metator_00027_00003     	0.141871	36.04	30
MetaTOR_MGE_00322       	metator_00027_00006     	0.165058	41.93	44
MetaTOR_MGE_00322       	metator_00027_00002     	0.057822	14.69	31
MetaTOR_MGE_00323       	metator_00002_00002     	0.600192	94.43	97
MetaTOR_MGE_00326       	metator_00002_00004     	0.095234	10.02	62
MetaTOR_MGE_00326       	metator_00002_00003     	0.793893	83.53	123
MetaTOR_MGE_00023       	metator_00002_00003     	2.211305	76.53	126
MetaTOR_MGE_00023       	metator_00002_00004     	0.464944	16.09	74
MetaTOR_MGE_00327       	metator_00027_00006     	0.020991	37.06	8
MetaTOR_MGE_00327       	metator_00027_00002     	0.035651	62.94	10
MetaTOR_MGE_00329       	metator_00027_00003     	0.029209	73.76	10
MetaTOR_MGE_00330       	metator_00022_00000     	0.223014	100.00	41
MetaTOR_MGE_00331       	metator_00027_00005     	0.027744	100.00	11
MetaTOR_MGE_00332       	metator_00027_00006     	0.305445	83.64	38
MetaTOR_MGE_00333       	metator_00013_00000     	0.212709	100.00	32
MetaTOR_MGE_00334       	metator_00028_00005     	0.310813	79.11	29
MetaTOR_MGE_00335       	metator_00007_00000     	0.754483	100.00	25
MetaTOR_MGE_00336       	metator_00016_00000     	0.436171	99.87	28
MetaTOR_MGE_00337       	metator_00007_00000     	0.331470	99.60	16
MetaTOR_MGE_00076       	metator_00096_00000     	1.435300	96.43	39
MetaTOR_MGE_00339       	metator_00007_00000     	0.673419	100.00	16
MetaTOR_MGE_00340       	metator_00059_00000     	0.442399	99.54	90
MetaTOR_MGE_00060       	metator_00033_00000     	0.975097	99.47	88
MetaTOR_MGE_00342       	metator_00033_00000     	0.077420	99.00	25
MetaTOR_MGE_00343       	metator_00007_00000     	1.038453	99.72	77
MetaTOR_MGE_00344       	metator_00024_00000     	0.321538	91.36	27
MetaTOR_MGE_00347       	metator_00007_00000     	0.585962	100.00	22
MetaTOR_MGE_00348       	metator_00005_00002     	0.045016	17.14	29
MetaTOR_MGE_00348       	metator_00005_00004     	0.179044	68.19	28
MetaTOR_MGE_00348       	metator_00005_00003     	0.032229	12.27	24
MetaTOR_MGE_00349       	metator_00002_00004     	0.098614	14.43	63
